,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
2011-11-24,6.615906,6.6111603,6.6044617,6.609993,6.616562,6.6165085,6.633087
2011-11-25,6.6115265,6.6164474,6.604149,6.6194687,6.6151733,6.643654,6.6163177
2011-11-27,6.615906,6.6110916,6.6164703,6.610817,6.6204147,6.626793,6.6467133
2011-11-28,6.6110764,6.616638,6.6154633,6.6204224,6.634262,6.6340866,6.6568146
2011-11-29,6.6179886,6.6157913,6.637825,6.627968,6.6484604,6.651062,6.673004
2011-11-30,6.6215515,6.6359863,6.612335,6.658722,6.656227,6.6799927,6.680649
2011-12-01,6.636055,6.637001,6.6260834,6.647705,6.6784286,6.677574,6.7308273
2011-12-02,6.609413,6.6467743,6.640381,6.680603,6.696419,6.689766,6.743637
2011-12-04,6.634842,6.63974,6.665497,6.679306,6.7309036,6.7175217,6.767914
2011-12-05,6.647331,6.67997,6.67511,6.7129593,6.7339935,6.731041,6.7320557
2011-12-06,6.6679993,6.69046,6.73291,6.729164,6.7691727,6.7170944,6.7598495
2011-12-07,6.6812744,6.7250366,6.7538986,6.768898,6.7428207,6.708893,6.7664337
2011-12-08,6.7265625,6.724457,6.7599106,6.764427,6.7501755,6.7554474,6.761223
2011-12-09,6.7108154,6.711952,6.737732,6.7753906,6.7412186,6.7575226,6.7686157
2011-12-11,6.751976,6.750946,6.743149,6.76458,6.7274017,6.7684937,6.7632446
2011-12-12,6.7557297,6.7622604,6.7532806,6.747101,6.749977,6.7489014,6.7643967
2011-12-13,6.7650223,6.73275,6.7808914,6.767502,6.7618027,6.777725,6.77948
2011-12-14,6.7202835,6.75943,6.750862,6.755905,6.767029,6.7740097,6.7755814
2011-12-15,6.757805,6.7561035,6.766884,6.7633057,6.7765274,6.7765274,6.787384
2011-12-16,6.7625504,6.7638245,6.769333,6.7634277,6.7809677,6.7764053,6.79657
2011-12-18,6.766617,6.774887,6.7690353,6.7759094,6.7828217,6.793007,6.8217316
2011-12-19,6.7656784,6.756714,6.7897644,6.7723694,6.80748,6.81028,6.812439
2011-12-20,6.759445,6.7769547,6.786751,6.800247,6.8101883,6.8032,6.833267
2011-12-21,6.776787,6.791313,6.8000336,6.8082657,6.817169,6.812294,6.841774
2011-12-22,6.767395,6.795059,6.8174515,6.8081512,6.8160095,6.8436584,6.857933
2011-12-23,6.8033752,6.8096237,6.803795,6.827072,6.8465347,6.8543396,6.862213
2011-12-27,6.790695,6.8273315,6.8218613,6.831253,6.8611298,6.845291,6.841034
2011-12-28,6.824379,6.829933,6.8526077,6.8500366,6.8754883,6.8718796,6.8660126
2011-12-29,6.837578,6.8322525,6.846184,6.871704,6.866974,6.85466,6.864464
2011-12-30,6.8383408,6.859535,6.846733,6.842705,6.8702545,6.872078,6.8788834
2012-01-02,6.863716,6.8501663,6.853325,6.8695526,6.862732,6.867981,6.871628
2012-01-03,6.8638306,6.861313,6.8622284,6.8664093,6.917206,6.879524,6.871994
2012-01-04,6.86837,6.8571014,6.8668747,6.8803406,6.8740463,6.843895,6.8873444
2012-01-05,6.842041,6.864464,6.869507,6.8836594,6.879074,6.9001465,6.893471
