,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
2011-09-28,2134.0137,2130.7524,2128.9595,2128.984,2128.9963,2128.2068,2128.2227
2011-09-29,2130.3591,2129.0115,2128.9963,2128.9927,2128.2114,2128.2188,2124.6548
2011-09-30,2129.0142,2128.9856,2128.9863,2128.2078,2128.2056,2124.6843,2120.6958
2011-10-02,2128.986,2129.0012,2128.2046,2128.2107,2124.635,2120.6106,2116.5952
2011-10-03,2128.9824,2128.206,2128.1956,2124.4739,2120.456,2116.39,2112.8303
2011-10-04,2128.1821,2128.2034,2124.4023,2120.1838,2116.1274,2112.961,2111.6548
2011-10-05,2128.1812,2124.2869,2119.9668,2115.7405,2113.0193,2111.6733,2112.9417
2011-10-06,2124.2349,2119.739,2115.3735,2112.903,2111.6484,2112.9553,2112.9614
2011-10-07,2119.5608,2115.03,2112.9795,2111.6663,2112.9604,2112.9456,2112.923
2011-10-09,2114.7222,2112.9375,2111.635,2112.9412,2112.9526,2112.949,2112.967
2011-10-10,2112.936,2111.6394,2112.941,2112.9607,2112.93,2112.935,2112.9321
2011-10-11,2111.6418,2112.954,2112.9753,2112.951,2112.972,2112.9592,2111.6458
2011-10-12,2112.9443,2112.9536,2112.9558,2112.929,2112.9238,2111.643,2112.9648
2011-10-13,2112.942,2112.9553,2112.9219,2112.9392,2111.6587,2112.9246,2112.9465
2011-10-14,2112.9304,2112.9556,2112.9463,2111.6611,2112.9568,2112.9514,2118.2217
2011-10-16,2112.9604,2112.9563,2111.656,2112.9658,2112.955,2118.2563,2124.408
2011-10-17,2112.969,2111.6384,2112.933,2112.9187,2118.5752,2124.6045,2128.2842
2011-10-18,2111.6323,2112.933,2112.9475,2118.9216,2125.077,2128.2302,2128.1912
2011-10-19,2112.9597,2112.929,2118.8167,2125.582,2128.2314,2128.1997,2134.2715
2011-10-20,2112.9604,2119.1162,2125.6787,2128.223,2128.1907,2134.3628,2150.212
2011-10-21,2119.1448,2126.134,2128.1816,2128.2114,2134.7114,2150.5151,2157.1218
2011-10-23,2126.3442,2128.2214,2128.1946,2134.6982,2150.8516,2157.086,2163.7473
2011-10-24,2128.1882,2128.222,2134.8718,2151.0217,2157.0723,2163.7827,2170.3442
2011-10-25,2128.203,2135.1506,2151.4578,2157.0698,2163.998,2170.26,2170.3235
2011-10-26,2135.3884,2151.6936,2157.1594,2164.238,2170.2368,2170.3435,2177.4194
2011-10-27,2151.9038,2157.1245,2164.0208,2170.3035,2170.3008,2177.5676,2191.6707
2011-10-28,2157.1155,2164.4453,2170.1804,2170.3406,2177.877,2191.9282,2213.732
2011-10-30,2164.459,2170.3772,2170.2974,2177.8274,2192.2976,2214.4607,2238.8435
2011-10-31,2170.1758,2170.3625,2178.4065,2192.5881,2215.2458,2239.6743,2265.529
2011-11-01,2170.3372,2178.084,2192.8455,2216.029,2240.495,2266.4863,2272.5198
2011-11-02,2178.2285,2193.068,2216.862,2241.3735,2267.376,2272.4597,2272.5405
2011-11-03,2193.2964,2217.5142,2242.3691,2268.3796,2272.557,2272.5173,2279.6567
2011-11-04,2218.1262,2243.0554,2269.5625,2272.601,2272.5208,2279.8923,2287.531
2011-11-06,2243.7905,2270.3022,2272.5203,2272.5364,2279.997,2287.4795,2287.2268
2011-11-07,2271.268,2272.5488,2272.5352,2280.218,2287.433,2287.18,2288.3357
2011-11-08,2272.5613,2272.5251,2280.1638,2287.3098,2287.1682,2288.3237,2288.3445
2011-11-09,2272.558,2280.227,2287.2375,2287.2012,2288.3313,2288.3472,2293.2107
2011-11-10,2280.2854,2287.066,2287.1782,2288.3245,2288.3613,2293.4146,2293.3372
2011-11-11,2287.0452,2287.19,2288.378,2288.331,2293.3481,2293.3728,2293.3403
2011-11-13,2287.1748,2288.3591,2288.356,2293.4473,2293.3647,2293.3408,2293.3608
2011-11-14,2288.3347,2288.3694,2293.4458,2293.349,2293.3435,2293.3638,2293.37
2011-11-15,2288.3394,2293.3936,2293.349,2293.357,2293.3337,2293.3484,2293.3394
2011-11-16,2293.421,2293.3555,2293.3916,2293.382,2293.38,2293.3555,2293.3386
2011-11-17,2293.3555,2293.3784,2293.3777,2293.3562,2293.3896,2293.3188,2293.339
2011-11-18,2293.3523,2293.3423,2293.3425,2293.2952,2293.3418,2293.3455,2287.1472
2011-11-20,2293.344,2293.361,2293.342,2293.3281,2293.3308,2287.2273,2276.4504
2011-11-21,2293.344,2293.3508,2293.3806,2293.332,2287.1511,2276.2554,2271.362
2011-11-22,2293.379,2293.3794,2293.368,2287.1125,2276.1475,2271.33,2270.8906
2011-11-23,2293.3533,2293.3433,2287.0505,2276.2234,2271.3867,2270.8276,2270.9368
2011-11-24,2293.3733,2287.0237,2276.2703,2271.3894,2270.9358,2270.858,2260.825
2011-11-25,2287.1038,2276.07,2271.3486,2270.9128,2270.941,2260.8787,2261.3096
2011-11-27,2276.2573,2271.3142,2270.9282,2270.9207,2261.0461,2261.325,2261.348
2011-11-28,2271.3132,2270.895,2270.89,2260.9143,2261.3755,2261.3752,2261.3394
2011-11-29,2270.9402,2270.9229,2260.8303,2261.3645,2261.3516,2261.347,2257.8413
2011-11-30,2270.876,2260.996,2261.3464,2261.359,2261.2986,2257.804,2261.3726
2011-12-01,2260.935,2261.3313,2261.3538,2261.396,2257.766,2261.3545,2261.373
2011-12-02,2261.4058,2261.3848,2261.3533,2257.8032,2261.2742,2261.3286,2261.334
2011-12-04,2261.308,2261.3157,2257.7922,2261.412,2261.3645,2261.3489,2261.3718
2011-12-05,2261.2634,2257.8596,2261.2947,2261.288,2261.3594,2261.3276,2261.3616
2011-12-06,2257.886,2261.3447,2261.3538,2261.3833,2261.4033,2261.3494,2257.8704
2011-12-07,2261.2927,2261.364,2261.3455,2261.3628,2261.35,2257.804,2261.317
2011-12-08,2261.3528,2261.342,2261.3384,2261.298,2257.844,2261.347,2261.301
2011-12-09,2261.3442,2261.3645,2261.372,2257.7844,2261.3254,2261.298,2257.824
2011-12-11,2261.3372,2261.342,2257.8057,2261.3389,2261.361,2257.7546,2256.4817
2011-12-12,2261.3718,2257.847,2261.4084,2261.321,2257.8784,2256.4976,2252.1042
2011-12-13,2257.8464,2261.2715,2261.3135,2257.8762,2256.5393,2252.1697,2238.707
2011-12-14,2261.415,2261.3542,2257.832,2256.5337,2252.037,2238.7634,2239.3843
2011-12-15,2261.318,2257.8616,2256.4736,2252.078,2238.7395,2239.3376,2236.3455
2011-12-16,2257.7544,2256.4866,2252.1155,2238.738,2239.3438,2236.3157,2236.3494
2011-12-18,2256.5012,2252.0674,2238.7659,2239.4092,2236.3064,2236.328,2236.3289
2011-12-19,2252.0718,2238.6692,2239.435,2236.3247,2236.339,2236.3716,2236.3035
