,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
2011-08-26,1.9247755,1.9250821,1.9420776,1.9463382,1.944269,1.9453481,1.9510391
2011-08-28,1.9309218,1.9412491,1.9408782,1.9427246,1.9445359,1.9442093,1.945797
2011-08-29,1.9376543,1.948461,1.9487764,1.9449975,1.9450332,1.950211,1.9459072
2011-08-30,1.9374924,1.9397314,1.939632,1.9481196,1.9462942,1.94298,1.9418045
2011-08-31,1.9398335,1.9408402,1.9476898,1.9390937,1.9363203,1.9431255,1.9436829
2011-09-01,1.9347873,1.9430346,1.9385093,1.9412508,1.9358963,1.9375147,1.9448339
2011-09-02,1.9395468,1.9434876,1.9479511,1.9477447,1.9463415,1.9480584,1.9486859
2011-09-04,1.9415479,1.9491379,1.9389925,1.9471139,1.9414811,1.9501038,1.9413292
2011-09-05,1.9472233,1.9420325,1.9472618,1.9475293,1.9430903,1.9436022,1.9457195
2011-09-06,1.9452161,1.9488928,1.9460453,1.9465022,1.9439948,1.951968,1.9495369
2011-09-07,1.9549841,1.9374348,1.9359571,1.9489104,1.9412547,1.9445308,1.953759
2011-09-08,1.9382969,1.9360874,1.9394743,1.9390001,1.9448091,1.9467206,1.9572754
2011-09-09,1.9445035,1.9394516,1.9540521,1.9477773,1.9770218,1.951036,1.9560392
2011-09-11,1.9360932,1.9411777,1.950249,1.945753,1.9426522,1.9387076,1.9409664
2011-09-12,1.9442284,1.9475192,1.9513507,1.9590892,1.9493146,1.9608816,1.9493406
2011-09-13,1.9472374,1.9461014,1.9443024,1.9435233,1.9472356,1.9445515,1.9590263
2011-09-14,1.9412403,1.9387249,1.941832,1.9564842,1.9474595,1.9457366,1.945239
2011-09-15,1.9517592,1.9478356,1.9371074,1.9369149,1.9478307,1.9518342,1.9191436
2011-09-16,1.9373927,1.947821,1.9491804,1.9553738,1.9434019,1.9212726,1.9188311
2011-09-18,1.9548833,1.9417357,1.9408534,1.9412858,1.952713,1.9428384,1.9292618
2011-09-19,1.9368333,1.9402088,1.9367707,1.9345578,1.9343278,1.9372283,1.9420716
2011-09-20,1.9417303,1.9443411,1.9427366,1.9381192,1.9437509,1.9449214,1.9289232
2011-09-21,1.9317278,1.9388049,1.9186265,1.9380567,1.9316821,1.9290107,1.9379314
2011-09-22,1.9362702,1.9260856,1.9385911,1.9364332,1.9374764,1.9397354,1.927391
2011-09-23,1.933188,1.9478623,1.9258993,1.9331098,1.9322736,1.9254354,1.9314988
2011-09-25,1.924206,1.9262083,1.9330424,1.9284678,1.9361709,1.9476045,1.928586
2011-09-26,1.946465,1.9321176,1.9373198,1.9387352,1.9296193,1.9360893,1.9163817
2011-09-27,1.9151067,1.9244046,1.9365764,1.9289145,1.9321694,1.9359804,1.9354888
2011-09-28,1.9333591,1.9350163,1.9321468,1.9339606,1.9232614,1.9336314,1.9285973
2011-09-29,1.9323385,1.9434422,1.9300474,1.9131808,1.94655,1.9386969,1.9302416
2011-09-30,1.9365641,1.9301163,1.9389342,1.9298062,1.9318659,1.9202275,1.9536227
2011-10-02,1.9388454,1.9195656,1.9356928,1.9263433,1.9411798,1.9424611,1.9273828
2011-10-03,1.9317305,1.9277388,1.9307938,1.9341595,1.9325321,1.9341174,1.9223709
2011-10-04,1.9351239,1.9365422,1.937861,1.9383574,1.9301636,1.9390417,1.9345982
2011-10-05,1.9300476,1.9343084,1.9298048,1.9287913,1.9265795,1.9358618,1.9340099
2011-10-06,1.9226309,1.9425305,1.9426584,1.9368742,1.9328302,1.9351493,1.9314895
2011-10-07,1.9442804,1.9308528,1.9396458,1.9254041,1.927671,1.9311047,1.934705
2011-10-09,1.9286104,1.929186,1.929266,1.9428548,1.9411049,1.9428978,1.9618217
2011-10-10,1.9222895,1.9454163,1.939728,1.9358534,1.9477499,1.9594154,1.97335
2011-10-11,1.9371065,1.9306804,1.9472673,1.9416567,1.964684,1.9754102,1.9763445
2011-10-12,1.9279658,1.9275885,1.9432619,1.9646733,1.9719824,1.9749227,1.9766353
2011-10-13,1.9365914,1.936895,1.9608678,1.9709629,1.979142,1.9725347,1.9743922
2011-10-14,1.9374232,1.9628608,1.9721175,1.9721743,1.9846728,1.9714656,1.9638164
2011-10-16,1.9628477,1.9731905,1.977337,1.9836788,1.9567045,1.9600213,1.9861593
2011-10-17,1.9729822,1.9786187,1.9784896,1.9743218,1.9769835,1.9895837,1.9944082
2011-10-18,1.9695417,1.9742577,1.9829675,1.9980454,1.9724302,1.9828477,1.9829204
2011-10-19,1.9734029,1.967873,1.9959317,1.9905106,1.9814655,1.9755425,1.9876099
2011-10-20,1.958885,1.9867605,1.991075,1.9784901,1.9905683,1.9875524,1.9931067
2011-10-21,1.9708028,1.9833437,1.9885739,1.978782,1.9917756,1.990434,1.9856534
2011-10-23,1.9713199,1.9848646,1.9734045,1.9761511,1.9930503,1.9922595,1.9888237
2011-10-24,1.9910926,1.9770575,1.9907318,1.9921143,1.9962093,1.9883965,1.9916856
2011-10-25,1.9997069,1.9837412,1.9724445,1.9853932,1.995775,2.0007477,1.99236
2011-10-26,1.9881485,2.001081,1.9850023,1.9928963,1.9924855,2.0057428,1.9932678
2011-10-27,1.993442,1.9889613,1.9840493,1.9931486,1.9855405,1.9916135,1.9915904
2011-10-28,1.9920657,1.9902736,1.9868884,1.9853354,1.9692315,1.9853641,1.9924434
2011-10-30,1.9834442,1.983535,1.9957695,1.9798958,1.9778926,1.9886357,1.9964693
2011-10-31,1.9930831,1.983171,1.9950883,1.9856226,1.9887062,1.9984128,1.9978904
2011-11-01,1.9829907,1.9835434,1.9860926,1.9955531,1.9966896,1.9935939,2.0042171
2011-11-02,1.9940345,1.9889795,1.9887495,1.9937036,1.9942999,1.9934467,1.975871
2011-11-03,1.9896424,1.9920106,1.9946152,1.9934129,2.0006392,1.9869667,2.0045867
2011-11-04,1.9908414,1.9958652,1.9940429,1.9972908,1.9955902,2.0010533,1.9984937
2011-11-06,1.9949895,1.9965854,1.993525,1.9960707,1.9972905,2.0022163,2.0024948
2011-11-07,1.9984337,1.9994173,2.005395,1.9973763,2.0099447,1.9978505,1.9954519
2011-11-08,2.0024889,2.006031,1.995369,2.000134,2.0066402,2.0035758,2.0031972
2011-11-09,1.9961522,1.9971865,1.9952457,2.0146186,2.0056183,2.0058193,2.0037436
2011-11-10,2.0013602,1.9975705,2.0079193,1.9985884,2.0021827,1.9997852,1.9948308
2011-11-11,1.9961101,1.999015,2.0070684,1.9967543,2.0002685,1.9965683,1.9953139
2011-11-13,2.0088737,1.9968246,1.98946,2.0028193,2.005033,2.0078125,2.00354
2011-11-14,2.0000181,1.9967227,2.0094092,2.003739,2.005279,1.9964414,2.0076537
2011-11-15,2.0092928,2.0080216,2.002452,2.0024645,2.0075622,2.0050445,2.0084226
2011-11-16,1.9982406,2.0093207,1.9943011,1.9999547,1.9986626,2.0036972,2.005718
2011-11-17,2.002788,2.0044787,1.9872195,1.9994261,2.0093532,2.0075483,2.0026946
2011-11-18,2.0075095,1.996175,2.0067534,2.0160224,2.005489,2.0052092,2.0144958
2011-11-20,2.0041413,2.0025687,1.9998331,1.9969846,2.0092301,2.0121613,2.01316
2011-11-21,2.0056703,2.0000346,1.9916825,2.0054765,2.013733,2.0119123,2.0194697
2011-11-22,2.0014074,1.9966468,2.006113,2.0109994,2.0160472,2.0161123,2.0155783
2011-11-23,2.005722,2.0130506,2.012356,2.0148027,2.0150845,2.0179253,2.0231683
2011-11-24,2.00603,2.0142682,2.01333,2.02141,2.0136561,2.0204277,2.021647
2011-11-25,2.013679,2.015189,2.0158677,2.0159888,2.0146725,2.0190344,2.0269136
2011-11-27,2.015469,2.0206754,2.017205,2.0141113,2.0213554,2.025635,2.0298996
2011-11-28,2.0124528,2.0174367,2.0188837,2.0213647,2.0246632,2.0240512,2.0261931
2011-11-29,2.0208719,2.035065,2.020711,2.0257423,2.0283303,2.0331054,2.023592
2011-11-30,2.0193877,2.0162313,2.0235431,2.028218,2.0243416,2.0298986,2.024275
2011-12-01,2.0277812,2.0256677,2.0258672,2.0290642,2.0285208,2.0297575,2.0251637
2011-12-02,2.031152,2.0260556,2.0280402,2.0267687,2.0279512,2.026052,2.020793
2011-12-04,2.0279882,2.025852,2.0274742,2.024721,2.0237427,2.0200434,2.0321465
2011-12-05,2.0289958,2.024688,2.0279458,2.0318303,2.0280094,2.0261781,2.0324244
2011-12-06,2.0258174,2.0231717,2.0282505,2.0257182,2.0272377,2.0272489,2.026954
2011-12-07,2.0293422,2.0291336,2.0261905,2.026415,2.0294895,2.0303986,2.0311563
2011-12-08,2.023363,2.0303404,2.0284295,2.0317852,2.0286412,2.0323062,2.030381
2011-12-09,2.0240438,2.0237916,2.0356505,2.0316138,2.0353286,2.030477,2.0415332
2011-12-11,2.025562,2.0233922,2.0304296,2.0341904,2.0375128,2.0407681,2.0318725
2011-12-12,2.0249405,2.0238068,2.0316296,2.035324,2.025457,2.0358844,2.065552
2011-12-13,2.0262725,2.0375924,2.0364256,2.039187,2.0343988,2.0420277,2.0542169
2011-12-14,2.0321143,2.03757,2.0383763,2.0401866,2.043626,2.0577166,2.0460567
2011-12-15,2.0338733,2.03719,2.0507312,2.0340517,2.0320954,2.0447397,2.038453
2011-12-16,2.0332177,2.0338986,2.0393374,2.0421298,2.0411456,2.0503833,2.052279
