,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF
2011-10-16,289.61557,289.92767,290.06134,290.10184,291.35464,291.62308,291.72565
2011-10-17,289.8471,290.01556,290.21765,291.30838,291.72165,291.78137,291.83475
2011-10-18,290.08734,290.09784,291.3346,291.73596,291.80942,291.84506,292.19888
2011-10-19,290.0959,291.33588,291.73294,291.76492,291.8504,292.1806,292.61298
2011-10-20,291.32175,291.63956,291.72186,291.73883,292.13647,292.63184,292.6715
2011-10-21,291.608,291.7631,291.79364,292.1251,292.59134,292.70157,293.0016
2011-10-23,291.75882,291.8199,292.1626,292.55832,292.6543,292.9677,293.31808
2011-10-24,291.91492,292.153,292.62912,292.66272,292.99792,293.29758,293.51645
2011-10-25,292.11743,292.60846,292.69522,293.0561,293.33322,293.5263,293.7528
2011-10-26,292.59875,292.64685,293.01086,293.3083,293.52277,293.78955,294.75305
2011-10-27,292.67923,292.99112,293.2962,293.49176,293.7842,294.76794,295.83893
2011-10-28,293.0539,293.35532,293.5395,293.72116,294.76495,295.84882,296.1351
2011-10-30,293.26367,293.557,293.7672,294.79504,295.78323,296.12418,296.32126
2011-10-31,293.49298,293.68344,294.74054,295.84845,296.1063,296.3445,296.37915
2011-11-01,293.7872,294.83713,295.88278,296.11603,296.26602,296.35162,296.45126
2011-11-02,294.81458,295.87033,296.13876,296.26767,296.39767,296.43723,296.55084
2011-11-03,295.9244,296.15295,296.27127,296.42682,296.5102,296.51614,297.18497
2011-11-04,296.10922,296.26974,296.42114,296.4503,296.6221,297.19174,297.4764
2011-11-06,296.2627,296.3977,296.48538,296.57925,297.2061,297.48135,297.82672
2011-11-07,296.41125,296.45782,296.54022,297.19385,297.50543,297.78162,297.9323
2011-11-08,296.52042,296.54355,297.23166,297.53735,297.8185,297.92276,298.15158
2011-11-09,296.59628,297.18707,297.51785,297.77945,297.97897,298.03458,298.66498
2011-11-10,297.18402,297.53235,297.8218,297.91885,298.02728,298.67035,299.0257
2011-11-11,297.491,297.77444,297.94077,298.01157,298.65738,299.04504,299.2005
2011-11-13,297.80792,297.96008,298.03372,298.667,298.99268,299.22772,299.9752
2011-11-14,297.98315,298.03992,298.68457,298.97903,299.2164,299.9913,301.2919
2011-11-15,298.00507,298.64615,299.0635,299.27664,299.91882,301.22128,302.96085
2011-11-16,298.76132,298.93906,299.2368,299.8567,301.2557,302.90552,303.92557
2011-11-17,298.90927,299.25327,299.98636,301.25156,302.91678,303.96753,304.16803
2011-11-18,299.24384,299.876,301.34726,302.8935,303.9984,304.16266,304.2061
2011-11-20,299.94177,301.22986,302.94983,303.9713,304.2259,304.21664,305.10345
2011-11-21,301.25546,302.9817,303.97256,304.1633,304.22174,305.10977,305.27347
2011-11-22,302.96298,303.97955,304.18073,304.23563,305.0885,305.3349,305.61124
2011-11-23,304.05267,304.2042,304.32935,305.16296,305.34335,305.6563,306.05402
2011-11-24,304.2552,304.32523,305.07474,305.29745,305.6343,305.991,306.04016
2011-11-25,304.2306,305.13968,305.26947,305.5946,305.9368,306.1204,306.28668
2011-11-27,305.16125,305.34174,305.6448,306.0033,306.08978,306.26926,306.2433
2011-11-28,305.28613,305.6247,305.8947,306.04535,306.2923,306.29004,306.24756
2011-11-29,305.64648,306.03726,306.23248,306.26505,306.2763,306.23407,306.28784
2011-11-30,305.96243,306.28244,306.2659,306.31464,306.26364,306.33084,306.24258
2011-12-01,306.02893,306.2782,306.31604,306.27933,306.2961,306.25995,306.24704
2011-12-02,306.296,306.24408,306.26624,306.2132,306.24503,306.2351,306.2888
2011-12-04,306.27045,306.2944,306.26236,306.23682,306.2714,306.3115,306.24197
2011-12-05,306.29422,306.26852,306.34146,306.29416,306.261,306.26865,306.2465
2011-12-06,306.2617,306.27902,306.2998,306.26114,306.29868,306.2913,306.2896
2011-12-07,306.2399,306.24185,306.29678,306.27658,306.23972,306.23093,306.24133
2011-12-08,306.29764,306.30017,306.28284,306.24603,306.2697,306.33524,306.24615
2011-12-09,306.2706,306.27057,306.2473,306.2646,306.3012,306.2591,306.02103
2011-12-11,306.29565,306.23956,306.2443,306.31964,306.2962,306.1249,306.10284
2011-12-12,306.26117,306.2444,306.19284,306.28052,306.0823,306.07434,306.0903
2011-12-13,306.2381,306.26334,306.24628,306.13348,306.11142,306.07846,306.04132
2011-12-14,306.2989,306.27756,306.14944,306.10245,306.04858,306.04388,306.08313
2011-12-15,306.27026,306.11084,306.0768,306.07733,306.07742,306.09872,305.37732
2011-12-16,306.05496,306.07346,306.1159,306.104,306.11224,305.35547,305.3297
2011-12-18,306.07513,306.09137,306.02884,306.06927,305.3996,305.30237,305.31845
2011-12-19,306.11786,306.1025,306.06403,305.38547,305.34442,305.30698,305.3375
2011-12-20,306.06995,306.1093,305.4273,305.27856,305.3228,305.351,305.34296
2011-12-21,306.07462,305.46286,305.3378,305.31677,305.34467,305.3015,305.37402
2011-12-22,305.3796,305.32047,305.2982,305.3875,305.32263,305.3064,305.2637
2011-12-23,305.2849,305.31696,305.31003,305.36206,305.34482,305.35165,305.30862
