,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
2011-11-24,2.4622345,2.4744186,2.4662476,2.4570236,2.4676895,2.4486084,2.4681702
2011-11-25,2.4680023,2.4659042,2.4783096,2.4806519,2.4657516,2.4661484,2.4657822
2011-11-27,2.4735336,2.4644547,2.4563599,2.4651642,2.4781113,2.4699554,2.4606705
2011-11-28,2.4722443,2.459198,2.4829178,2.431305,2.4837265,2.4643936,2.4781647
2011-11-29,2.4608917,2.456421,2.4756622,2.4840698,2.4605026,2.4774551,2.4573975
2011-11-30,2.4741821,2.4629517,2.4672775,2.4540558,2.4588928,2.4548721,2.4641876
2011-12-01,2.470337,2.4631271,2.4615479,2.4584732,2.4627838,2.4512482,2.4641724
2011-12-02,2.4665756,2.483307,2.4444427,2.4543076,2.4569626,2.4692764,2.4485016
2011-12-04,2.4579391,2.461052,2.4536896,2.4650269,2.453308,2.4516602,2.5154495
2011-12-05,2.4631195,2.4583588,2.4497604,2.4512177,2.467659,2.461319,2.4773788
2011-12-06,2.4464722,2.4489594,2.4573593,2.449936,2.4523163,2.4594574,2.452942
2011-12-07,2.4514236,2.4619904,2.4570847,2.4595795,2.4550247,2.4592667,2.454918
2011-12-08,2.458458,2.4692001,2.4542007,2.4494476,2.4627838,2.4706116,2.453186
2011-12-09,2.4761658,2.4453354,2.4503937,2.4609146,2.477356,2.45813,2.4569473
2011-12-11,2.4444504,2.4623718,2.4450226,2.4518356,2.4535599,2.4443207,2.44487
2011-12-12,2.4715118,2.444191,2.4826584,2.4442291,2.45092,2.455803,2.4607468
2011-12-13,2.4590912,2.4743805,2.4659348,2.4515915,2.4613953,2.4564896,2.4505615
2011-12-14,2.4505997,2.4529648,2.4581604,2.4673843,2.4485016,2.457985,2.4630585
2011-12-15,2.4527893,2.4456406,2.4524841,2.4493027,2.4727783,2.4612122,2.4776993
2011-12-16,2.4688187,2.4491425,2.4558716,2.4552307,2.4505157,2.4501648,2.4731598
2011-12-18,2.4613113,2.462288,2.4502563,2.4514084,2.4699326,2.4480743,2.4554214
2011-12-19,2.4510117,2.4576492,2.4585724,2.464676,2.440506,2.438774,2.4621887
