,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD
2011-12-14,7.7738876,7.7836304,7.7691574,7.78199,7.7926407,7.8082047,7.795372
2011-12-15,7.779846,7.78759,7.7775574,7.781555,7.783737,7.7997513,7.78022
2011-12-16,7.8201523,7.7747345,7.7829056,7.7853317,7.796837,7.7428436,7.779274
2011-12-18,7.760124,7.767189,7.7857513,7.787773,7.777481,7.8034897,7.7759094
2011-12-19,7.784874,7.784546,7.773773,7.7772446,7.777527,7.7966614,7.786682
2011-12-20,7.768715,7.7942047,7.7784805,7.7777023,7.790161,7.7454224,7.79438
2011-12-21,7.780876,7.7787247,7.8141556,7.776993,7.7796783,7.808502,7.8742294
2011-12-22,7.7851944,7.775757,7.81131,7.7772675,7.7377777,7.800194,7.785675
2011-12-23,7.7699356,7.7796555,7.7510223,7.7754517,7.777092,7.788826,7.783516
2011-12-27,7.7951736,7.7851944,7.801796,7.768341,7.778061,7.781639,7.7757645
2011-12-28,7.7633286,7.7695694,7.793442,7.786339,7.7849884,7.771492,7.770317
2011-12-29,7.789566,7.7879105,7.7759323,7.7848663,7.7845535,7.7892303,7.772888
2011-12-30,7.7704773,7.7849274,7.7895737,7.783188,7.777611,7.786461,7.772835
2012-01-02,7.7897797,7.785774,7.776703,7.7769394,7.780319,7.776596,7.7751236
2012-01-03,7.777832,7.784485,7.7885666,7.7781143,7.7781296,7.7794266,7.7823486
2012-01-04,7.7841644,7.7682877,7.779686,7.784294,7.780304,7.779648,7.778244
