,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
2011-11-06,31.958534,31.92414,31.896324,31.961159,31.964157,32.00004,32.049828
2011-11-07,31.90406,31.944336,31.97638,31.958954,32.02279,32.013947,32.057793
2011-11-08,31.906311,31.91085,31.953552,31.993675,31.997017,32.086594,32.213264
2011-11-09,31.933151,31.95655,32.005478,32.026955,32.0598,32.189003,32.456696
2011-11-10,31.955315,32.005478,32.0524,32.061943,32.19995,32.443405,32.521362
2011-11-11,31.995148,32.013138,32.066284,32.21608,32.424362,32.521065,33.412483
2011-11-13,32.024696,32.063858,32.16298,32.436386,32.58509,33.41021,33.42708
2011-11-14,32.067757,32.222534,32.430473,32.52437,33.446686,33.42634,33.3892
2011-11-15,32.19683,32.440323,32.57747,33.41607,33.39119,33.419434,33.388947
2011-11-16,32.446716,32.577423,33.37735,33.425682,33.403442,33.403328,33.41063
2011-11-17,32.56543,33.389908,33.355507,33.38993,33.4367,33.40918,33.406548
2011-11-18,33.400375,33.397537,33.38276,33.38257,33.36944,33.402847,33.40274
2011-11-20,33.401474,33.413307,33.427757,33.41987,33.430046,33.388397,33.42273
2011-11-21,33.40547,33.39965,33.41828,33.428062,33.396347,33.40808,33.389893
2011-11-22,33.408745,33.404022,33.380493,33.389153,33.394638,33.422012,33.388214
2011-11-23,33.404457,33.416023,33.395317,33.380882,33.4217,33.38556,33.411972
2011-11-24,33.423813,33.40364,33.40975,33.42141,33.402298,33.400276,33.406906
2011-11-25,33.394638,33.416542,33.399803,33.42993,33.420998,33.349747,33.403442
2011-11-27,33.42444,33.40325,33.39502,33.387848,33.40532,33.404343,33.403656
2011-11-28,33.3994,33.41674,33.41999,33.378952,33.399933,33.347115,33.425545
2011-11-29,33.40444,33.403114,33.411972,33.422836,33.425125,33.42325,33.38775
2011-11-30,33.404587,33.41693,33.380356,33.43212,33.40538,33.42752,33.425407
2011-12-01,33.42553,33.402985,33.40822,33.386566,33.413887,33.447678,33.4384
2011-12-02,33.420517,33.417244,33.401955,33.377403,33.393745,33.397583,33.395187
2011-12-04,33.427406,33.402786,33.39692,33.42457,33.42743,33.43502,32.994545
2011-12-05,33.404434,33.417435,33.422867,33.434578,33.42434,33.0207,32.862755
