,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-10-09,1.3954344,1.3919661,1.391152,1.3976101,1.3994083,1.4016039,1.4002391
2011-10-10,1.3867737,1.3936813,1.4007663,1.3994089,1.3960445,1.3965175,1.3997815
2011-10-11,1.4002916,1.3942142,1.3948048,1.390927,1.3948154,1.400198,1.4039779
2011-10-12,1.3908334,1.3933156,1.403267,1.403692,1.4012073,1.4003977,1.4029955
2011-10-13,1.4006861,1.4004316,1.397794,1.4008532,1.4036916,1.4043465,1.4050124
2011-10-14,1.3981103,1.4003396,1.4028509,1.4007833,1.4045719,1.4069653,1.4038205
2011-10-16,1.4007564,1.4021283,1.4025307,1.4011862,1.3980856,1.4036224,1.4072523
2011-10-17,1.3994683,1.4065943,1.400774,1.4027286,1.4047605,1.4049459,1.4089605
2011-10-18,1.4048432,1.4040536,1.4039626,1.404352,1.4053478,1.404963,1.4192725
2011-10-19,1.4032655,1.4035462,1.4084811,1.4048951,1.4068081,1.404347,1.4066154
2011-10-20,1.4085804,1.4056587,1.4045736,1.408261,1.4079151,1.4117486,1.408232
2011-10-21,1.4034806,1.4081702,1.4071829,1.4129837,1.4090444,1.4089698,1.4074601
2011-10-23,1.4052305,1.408145,1.4078437,1.4064195,1.4092903,1.4135746,1.4083843
2011-10-24,1.409049,1.4076246,1.4079679,1.4072812,1.4102494,1.4071249,1.4087595
2011-10-25,1.4030625,1.4036695,1.411536,1.4054099,1.4094952,1.410977,1.406927
2011-10-26,1.4082724,1.4108716,1.411484,1.4106603,1.4084158,1.4106289,1.409837
2011-10-27,1.4097371,1.4072363,1.4080567,1.4095309,1.4061222,1.4126301,1.4051988
2011-10-28,1.4144125,1.4143009,1.412321,1.4116008,1.4122733,1.4096035,1.4077075
2011-10-30,1.4113678,1.4052918,1.4118671,1.4110911,1.4049842,1.4111497,1.4125984
2011-10-31,1.406307,1.4072706,1.4126538,1.4071256,1.4115071,1.4071125,1.4085386
2011-11-01,1.410869,1.4060141,1.410918,1.4172962,1.4080176,1.4099948,1.4129117
2011-11-02,1.4038959,1.4076633,1.4094474,1.405349,1.4118433,1.4168177,1.411542
