,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
2011-08-25,2785.366,2792.904,2789.911,2788.519,2791.1052,2793.923,2794.843
2011-08-26,2799.324,2806.8433,2803.8337,2801.4883,2803.9934,2806.8635,2807.8367
2011-08-28,2813.2634,2820.7668,2816.8027,2814.3762,2816.934,2819.857,2820.8767
2011-08-29,2827.1863,2833.735,2829.691,2827.3164,2829.927,2832.897,2833.9585
2011-08-30,2840.1553,2846.6238,2842.6313,2840.31,2842.9673,2845.979,2846.1152
2011-08-31,2853.0437,2859.5637,2855.625,2853.3503,2856.0488,2858.1362,2859.209
2011-09-01,2865.9836,2872.5574,2868.665,2866.4321,2868.206,2871.2292,2872.4722
2011-09-02,2878.9773,2885.5977,2881.7468,2878.589,2881.2993,2884.4927,2885.7664
2011-09-04,2892.0176,2898.6792,2893.9038,2891.6824,2894.563,2897.7864,2899.0928
2011-09-05,2905.0996,2910.8364,2906.9973,2904.9463,2907.8567,2911.1133,2912.4436
2011-09-06,2917.256,2923.9294,2920.2607,2918.2397,2921.183,2924.4636,2924.8306
2011-09-07,2930.3499,2937.1934,2933.554,2931.5667,2934.534,2936.851,2938.158
2011-09-08,2943.613,2950.4868,2946.881,2944.917,2946.9211,2950.1785,2951.6462
2011-09-09,2956.9067,2963.8135,2960.232,2957.304,2960.2483,2963.6665,2965.1514
2011-09-11,2970.234,2977.1643,2972.619,2970.6316,2973.7368,2977.1719,2978.6667
2011-09-12,2983.5842,2989.5513,2985.946,2984.1194,2987.2417,2990.6873,2992.1953
2011-09-13,2995.9712,3002.8787,2999.4343,2997.6248,3000.7576,3004.2158,3004.7366
2011-09-14,3009.2983,3016.367,3012.9395,3011.1404,3014.286,3016.7568,3018.22
2011-09-15,3022.7866,3029.872,3026.455,3024.6692,3026.827,3030.2405,3031.854
2011-09-16,3036.2917,3043.3872,3039.9834,3037.21,3040.3108,3043.8748,3045.4897
2011-09-18,3049.8071,3056.9236,3052.5232,3050.6938,3053.9446,3057.5098,3059.1304
2011-09-19,3063.339,3069.4626,3066.0078,3064.328,3067.58,3071.146,3072.767
2011-09-20,3075.8782,3082.9473,3079.6418,3077.9631,3081.2158,3084.7822,3085.414
2011-09-21,3089.3625,3096.581,3093.2769,3091.599,3094.8523,3097.429,3098.997
2011-09-22,3102.9963,3110.216,3106.9133,3105.2354,3107.4995,3111.0125,3112.7136
2011-09-23,3116.632,3123.8525,3120.5498,3117.8823,3121.0828,3124.729,3126.4302
2011-09-25,3130.268,3137.4888,3133.1963,3131.4656,3134.799,3138.4456,3140.1467
2011-09-26,3143.904,3150.1357,3146.78,3145.1821,3148.5159,3152.1619,3153.8625
2011-09-27,3156.5515,3163.7183,3160.4958,3158.898,3162.2317,3165.8774,3166.5718
2011-09-28,3170.1343,3177.434,3174.2114,3172.614,3175.9475,3178.5872,3180.2273
2011-09-29,3183.85,3191.1501,3187.9272,3186.3293,3188.6562,3192.2427,3194.0232
2011-09-30,3197.5654,3204.8657,3201.643,3199.0388,3202.312,3206.038,3207.819
2011-10-02,3211.2812,3218.5813,3214.3523,3212.6943,3216.108,3219.8345,3221.6138
2011-10-03,3224.997,3231.291,3228.0076,3226.4905,3229.9038,3233.6292,3235.3696
2011-10-04,3237.7063,3244.9463,3241.804,3240.2861,3243.699,3247.3848,3248.1255
2011-10-05,3251.3618,3258.742,3255.5996,3254.0808,3257.4546,3260.141,3261.8267
2011-10-06,3265.1577,3272.538,3269.3945,3267.837,3270.2104,3273.8418,3276.6677
2011-10-07,3278.9539,3286.333,3283.1501,3280.5928,3283.9114,3288.683,3291.5518
2011-10-09,3292.748,3300.0886,3295.9062,3294.2935,3298.7524,3303.5667,3306.3406
2011-10-10,3306.5044,3312.8447,3309.607,3309.1348,3313.6362,3318.356,3321.0444
2011-10-11,3319.26,3326.5457,3324.4482,3324.0186,3328.4258,3333.0598,3334.685
2011-10-12,3332.9607,3341.3865,3339.332,3338.808,3343.1294,3346.7,3349.181
2011-10-13,3347.8025,3356.2703,3354.1213,3353.5115,3356.7698,3361.1958,3363.749
2011-10-14,3362.6863,3371.0596,3368.8247,3367.1516,3371.266,3375.7644,3378.2468
2011-10-16,3377.4756,3385.7637,3382.4653,3381.648,3385.834,3390.2622,3392.6848
2011-10-17,3392.179,3399.4038,3396.961,3396.2163,3400.3318,3404.7,3407.0647
2011-10-18,3405.8193,3413.8997,3411.5295,3410.7139,3414.7695,3419.0798,3420.4373
2011-10-19,3420.3157,3428.4683,3426.0273,3425.1519,3429.1494,3432.453,3434.6611
2011-10-20,3434.8838,3442.9658,3440.4653,3439.5317,3442.522,3446.676,3448.9768
2011-10-21,3449.3813,3457.4038,3454.845,3452.9045,3456.7458,3460.9922,3463.243
2011-10-23,3463.819,3471.7837,3468.218,3467.1282,3471.0618,3475.2583,3477.4673
2011-10-24,3478.1992,3485.1562,3482.4414,3481.444,3485.3284,3489.4824,3491.6526
2011-10-25,3491.572,3499.3801,3496.7576,3495.7104,3499.5522,3503.6682,3504.853
2011-10-26,3505.7957,3513.696,3511.0234,3509.9343,3513.7373,3516.8684,3518.9092
2011-10-27,3520.1118,3527.9622,3525.2476,3524.12,3526.9385,3530.9246,3533.071
2011-10-28,3534.3777,3542.1865,3539.4333,3537.3203,3540.9941,3545.086,3547.1973
2011-10-30,3548.6018,3556.372,3552.6335,3551.3762,3555.1555,3559.2124,3561.2876
2011-10-31,3562.7874,3569.5725,3566.6897,3565.5378,3569.2822,3573.303,3575.3481
2011-11-01,3575.9878,3583.6282,3580.8513,3579.6643,3583.3723,3587.3638,3588.436
2011-11-02,3590.0437,3597.79,3594.978,3593.755,3597.4329,3600.4512,3602.3953
2011-11-03,3604.2056,3611.9163,3609.0684,3607.8154,3610.5205,3614.4106,3616.452
2011-11-04,3618.332,3626.0066,3623.1287,3620.9028,3624.48,3628.4678,3630.4915
2011-11-06,3632.422,3640.067,3636.2166,3634.8623,3638.537,3642.5068,3644.5017
2011-11-07,3646.483,3653.1548,3650.176,3648.9194,3652.5764,3656.517,3658.4927
2011-11-08,3659.5708,3667.1143,3664.2324,3662.9585,3666.5867,3670.5078,3671.522
2011-11-09,3673.5298,3681.1711,3678.2722,3676.9688,3680.5776,3683.5374,3685.4097
2011-11-10,3687.5867,3695.2104,3692.2822,3690.96,3693.607,3697.4253,3699.4202
2011-11-11,3701.626,3709.221,3706.2732,3703.9893,3707.4949,3711.4353,3713.3938
2011-11-13,3715.636,3723.2122,3719.3025,3717.8772,3721.505,3725.4092,3727.358
2011-11-14,3729.6274,3736.2412,3733.1907,3731.887,3735.4788,3739.373,3741.2878
2011-11-15,3742.6567,3750.1287,3747.2007,3745.8613,3749.4424,3753.303,3754.2764
2011-11-16,3756.5447,3764.139,3761.1743,3759.825,3763.3728,3766.2913,3768.1226
2011-11-17,3770.5547,3778.1128,3775.1387,3773.7551,3776.3613,3780.1377,3782.0874
2011-11-18,3784.5286,3792.077,3789.0684,3786.7437,3790.2073,3794.1028,3796.0244
2011-11-20,3798.4922,3806.0068,3802.0566,3800.5896,3804.1724,3808.04,3809.9478
2011-11-21,3812.4224,3818.9954,3815.903,3814.5547,3818.1096,3821.963,3823.8645
2011-11-22,3825.411,3832.8418,3829.8682,3828.4922,3832.0327,3835.8796,3836.8174
2011-11-23,3839.2573,3846.8064,3843.8052,3842.415,3845.9492,3848.833,3850.64
2011-11-24,3853.222,3860.7437,3857.7285,3856.3318,3858.9023,3862.6558,3864.5645
2011-11-25,3867.1594,3874.667,3871.6448,3869.2847,3872.7249,3876.5796,3878.4873
2011-11-27,3881.0823,3888.5835,3884.598,3883.1074,3886.6492,3890.5024,3892.3916
2011-11-28,3894.999,3901.5364,3898.4207,3897.0312,3900.5723,3904.4067,3906.2744
2011-11-29,3907.9521,3915.3591,3912.3447,3910.9546,3914.4766,3918.29,3919.2202
2011-11-30,3921.7747,3929.2834,3926.2678,3924.8584,3928.3596,3931.2358,3933.0212
2011-12-01,3935.6987,3943.2063,3940.1724,3938.7417,3941.3052,3945.0361,3946.944
2011-12-02,3949.622,3957.1104,3954.0552,3951.6875,3955.106,3958.9595,3960.8513
2011-12-04,3963.526,3970.9934,3967.001,3965.4883,3969.0293,3972.867,3974.7341
2011-12-05,3977.4092,3983.9397,3980.8018,3979.4111,3982.9365,3986.75,3988.6174
2011-12-06,3990.3552,3997.7402,3994.7244,3993.3188,3996.8196,4000.6326,4001.5442
2011-12-07,4004.156,4011.6633,4008.632,4007.2017,4010.7026,4013.5596,4015.3398
2011-12-08,4018.0786,4025.5708,4022.515,4021.0847,4023.6292,4027.355,4029.2625
2011-12-09,4031.9863,4039.4536,4036.3982,4034.0117,4037.4246,4041.2773,4043.1455
2011-12-11,4045.869,4053.3364,4049.3247,4047.8071,4051.347,4055.1606,4057.0286
2011-12-12,4059.7524,4066.2632,4063.12,4061.7297,4065.2302,4069.044,4070.9111
2011-12-13,4072.679,4080.0588,4077.043,4075.6125,4079.1135,4082.9268,4083.828
2011-12-14,4086.4744,4093.9814,4090.926,4089.4956,4092.9963,4095.843,4097.619
2011-12-15,4100.397,4107.8643,4104.809,4103.3784,4105.912,4109.6343,4111.5254
2011-12-16,4114.2803,4121.747,4118.6914,4116.2954,4119.704,4123.5405,4125.408
2011-12-18,4128.1626,4135.6304,4131.6084,4130.086,4133.6104,4137.424,4139.291
2011-12-19,4142.046,4148.547,4145.3994,4143.992,4147.493,4151.3066,4153.1606
2011-12-20,4154.9624,4162.338,4159.3057,4157.8755,4161.3765,4165.176,4166.0747
2011-12-21,4168.754,4176.2446,4173.189,4171.7583,4175.2456,4178.09,4179.86
2011-12-22,4182.66,4190.1274,4187.072,4185.628,4188.159,4191.8755,4193.7554
2011-12-23,4196.5425,4204.0103,4200.941,4198.5415,4201.9453,4205.771,4207.638
2011-12-27,4210.426,4217.88,4213.855,4212.327,4215.8403,4219.6533,4220.579
2011-12-28,4224.2954,4230.794,4227.6406,4226.222,4229.723,4232.5947,4233.4395
