,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
2012-01-02,103.65587,103.311966,103.24154,102.992355,102.980156,102.80908,102.15167
2012-01-03,103.28754,103.22043,103.02061,102.98561,102.80761,102.13216,101.971306
2012-01-04,103.2865,102.97778,102.97189,102.781586,102.1205,102.03891,101.899086
2012-01-05,102.99368,102.960266,102.84004,102.103134,101.973274,101.952675,101.846146
2012-01-06,102.93241,102.83422,102.14125,102.00104,101.897316,101.85334,101.80814
2012-01-08,102.811646,102.1052,102.00488,101.92265,101.86977,101.80874,101.72832
2012-01-09,102.19285,102.01597,101.90868,101.91154,101.763596,101.796005,101.44343
2012-01-10,101.99147,101.982765,101.89621,101.82322,101.748634,101.39797,101.48651
2012-01-11,101.89987,101.92021,101.81495,101.7302,101.403915,101.45106,101.39614
2012-01-12,101.88922,101.76046,101.798355,101.50387,101.44964,101.44615,101.37538
2012-01-13,101.81516,101.73797,101.45695,101.41746,101.39598,101.41941,101.39222
2012-01-15,101.78434,101.477425,101.51116,101.35277,101.40685,101.37818,101.03163
2012-01-16,101.445145,101.42325,101.42983,101.37863,101.38232,101.06901,100.47947
2012-01-17,101.44384,101.41162,101.46559,101.36292,101.0397,100.4572,100.044235
2012-01-18,101.45982,101.38298,101.33482,101.0536,100.40642,100.08696,99.98149
2012-01-19,101.40534,101.35507,101.07894,100.47484,100.078514,100.032,100.03179
2012-01-20,101.379074,101.11514,100.4479,100.095924,99.997025,99.979805,100.032745
2012-01-22,101.07337,100.45589,100.004196,100.01777,100.01222,100.03027,99.99445
2012-01-23,100.442215,100.06278,99.96415,100.00003,99.98669,100.039215,99.99434
2012-01-24,100.044525,100.01877,100.05089,100.02094,100.009415,99.98707,99.98599
2012-01-25,100.00563,99.99814,100.01753,100.00418,100.05599,100.053696,100.00433
2012-01-26,100.04725,100.0039,99.991684,100.05541,99.9945,99.99706,100.00484
2012-01-27,100.03376,100.042175,100.01097,99.99034,100.013084,100.03781,99.99866
2012-01-29,100.03979,100.02312,100.10787,100.055115,100.01917,100.04776,100.082596
2012-01-30,99.98653,100.040276,100.006905,100.012726,100.04262,99.97343,100.010315
2012-01-31,99.96174,99.97145,99.992836,99.97641,99.97169,99.957,100.065056
2012-02-01,100.0796,100.08886,100.027214,100.00531,100.029816,100.03601,100.10552
2012-02-02,99.94979,99.96136,100.008064,99.96245,100.02223,99.99018,99.981224
2012-02-03,100.0217,100.02582,100.00702,100.04756,100.00682,100.02123,100.02193
2012-02-05,100.05244,100.03124,100.01358,99.99836,99.992775,99.993744,100.00746
