,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK
2011-11-22,7.759412,7.7342167,7.766849,7.7190833,7.7488456,7.744517,7.7405534
2011-11-23,7.735764,7.715681,7.735767,7.7572155,7.732388,7.7427063,7.745759
2011-11-24,7.722125,7.7308283,7.7145853,7.7517204,7.750764,7.7458496,7.7517223
2011-11-25,7.7495346,7.730175,7.7497635,7.7501802,7.7454667,7.7331915,7.7504244
2011-11-27,7.730016,7.7415833,7.722077,7.7321177,7.7415113,7.7466846,7.7688684
2011-11-28,7.7324257,7.748694,7.7251024,7.7453737,7.753014,7.75121,7.758602
2011-11-29,7.7505865,7.7185745,7.7481194,7.753672,7.7612467,7.7546306,7.754316
2011-11-30,7.7395473,7.7534294,7.748039,7.748946,7.7622557,7.756971,7.7554684
2011-12-01,7.7402763,7.7551036,7.7502136,7.7564383,7.762036,7.760243,7.7562675
2011-12-02,7.7603226,7.748111,7.760675,7.7564664,7.7562404,7.7524333,7.757892
2011-12-04,7.7346764,7.760096,7.762628,7.7564945,7.7634664,7.752114,7.759055
2011-12-05,7.762155,7.7577744,7.753307,7.7565255,7.758662,7.7633233,7.757883
2011-12-06,7.7536893,7.756097,7.7512054,7.7565556,7.763911,7.75325,7.755317
2011-12-07,7.75172,7.7611656,7.760042,7.756586,7.7547603,7.7590504,7.7565184
2011-12-08,7.7611375,7.758841,7.7586045,7.75662,7.752844,7.762196,7.749779
2011-12-09,7.763261,7.756259,7.75542,7.756654,7.7391963,7.7604814,7.7631598
2011-12-11,7.755362,7.7616763,7.758794,7.7566886,7.75581,7.742582,7.742236
2011-12-12,7.7517095,7.75782,7.7553062,7.7567286,7.7673783,7.766893,7.7710543
2011-12-13,7.747489,7.7648335,7.7589326,7.756766,7.764379,7.7639236,7.7800283
2011-12-14,7.757714,7.757188,7.755181,7.756809,7.7528863,7.7785435,7.7957616
2011-12-15,7.753663,7.7691755,7.7590756,7.769476,7.754752,7.7707477,7.764419
2011-12-16,7.769363,7.767441,7.7692256,7.769453,7.766678,7.7721224,7.776653
2011-12-18,7.7479405,7.760811,7.761873,7.760074,7.745619,7.7588673,7.775156
2011-12-19,7.759603,7.7693114,7.7733536,7.7681346,7.7736664,7.758587,7.7846165
2011-12-20,7.770198,7.7657604,7.7582126,7.7668753,7.767209,7.7860403,7.7873216
2011-12-21,7.7729115,7.7647405,7.7800126,7.776286,7.7850766,7.7700977,7.7828336
2011-12-22,7.768408,7.762044,7.7528534,7.790903,7.7830896,7.789893,7.7783422
2011-12-23,7.763409,7.7593646,7.770582,7.771832,7.759487,7.7797656,7.7741947
2011-12-27,7.766658,7.771544,7.7725706,7.77618,7.7795215,7.7674665,7.7696733
