,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
2011-09-07,0.78842515,0.7887252,0.7874386,0.7888078,0.7891647,0.7874318,0.7888458
2011-09-08,0.7876768,0.78892714,0.7878757,0.78830075,0.788604,0.78947824,0.7880217
2011-09-09,0.78802824,0.7880546,0.7888509,0.78788036,0.7889045,0.78858525,0.78962296
2011-09-11,0.7886386,0.7884941,0.7874555,0.7883062,0.7892838,0.7906319,0.79115325
2011-09-12,0.7891985,0.7890204,0.78883827,0.7895103,0.789457,0.7926425,0.79280955
2011-09-13,0.7887774,0.78805834,0.791294,0.78886956,0.7907589,0.7931555,0.79267794
2011-09-14,0.788611,0.7886754,0.7902584,0.7906451,0.7934938,0.79355335,0.79570323
2011-09-15,0.7876344,0.78987956,0.7906905,0.7929829,0.7933,0.79460967,0.79751647
2011-09-16,0.79037446,0.791185,0.79344904,0.79289716,0.7956614,0.79655063,0.7980544
2011-09-18,0.7905297,0.7935929,0.7932109,0.7944581,0.79756165,0.7987955,0.80738944
2011-09-19,0.7922749,0.7929587,0.79480666,0.79593533,0.7977867,0.80924225,0.80909884
2011-09-20,0.7938786,0.7942908,0.7989783,0.7976935,0.8038269,0.80909103,0.8144416
2011-09-21,0.794873,0.7958102,0.7984176,0.80843514,0.8088178,0.8155893,0.8183996
2011-09-22,0.79660964,0.79766315,0.80688417,0.8100499,0.81653833,0.81843174,0.8451836
2011-09-23,0.7977767,0.8082316,0.80959624,0.8153095,0.8181572,0.8458721,0.8577424
2011-09-25,0.8072911,0.8088419,0.8156572,0.81818813,0.8456985,0.8579708,0.86790395
2011-09-26,0.80746824,0.815703,0.81792676,0.8459233,0.85729164,0.86989605,0.87120295
2011-09-27,0.81633836,0.8194465,0.84518915,0.8585623,0.86951643,0.87223303,0.8740331
2011-09-28,0.81907105,0.84597564,0.85743785,0.8682869,0.87185526,0.8740895,0.8779506
2011-09-29,0.845951,0.8596888,0.86893606,0.87363744,0.877002,0.8785974,0.87964356
2011-09-30,0.85800487,0.86869526,0.87457657,0.8749048,0.8789715,0.8789576,0.8810857
2011-10-02,0.8687808,0.87286526,0.87337685,0.8790081,0.87878513,0.881251,0.8814822
2011-10-03,0.8738663,0.87429214,0.8786416,0.8793335,0.88025963,0.88083285,0.8847553
2011-10-04,0.87366647,0.8781992,0.87955385,0.8806837,0.8833206,0.88207334,0.8843562
2011-10-05,0.8785754,0.8791361,0.88111645,0.88242364,0.8835574,0.8854993,0.8843291
2011-10-06,0.8797859,0.8811713,0.8821369,0.88373077,0.88585323,0.88457257,0.8871212
2011-10-07,0.88171977,0.8819575,0.883785,0.88467723,0.88566554,0.8889979,0.8952979
2011-10-09,0.88162214,0.88348573,0.8843977,0.8861855,0.88625777,0.8958828,0.8947835
2011-10-10,0.88416183,0.88515276,0.8858452,0.8882715,0.89552116,0.89702713,0.8978786
2011-10-11,0.88403344,0.8865899,0.8884013,0.89447695,0.8920254,0.8981484,0.896583
2011-10-12,0.8845339,0.88906384,0.89534086,0.8955323,0.8957969,0.8961436,0.89683294
2011-10-13,0.88650656,0.89419764,0.89619046,0.8973142,0.8967492,0.89641184,0.89550745
2011-10-14,0.8943166,0.8944118,0.896317,0.8987296,0.89642495,0.8948902,0.8986818
2011-10-16,0.8958242,0.8944023,0.89757985,0.8968571,0.8986505,0.89955115,0.8974847
2011-10-17,0.89639693,0.8973299,0.89725375,0.89666665,0.89935726,0.89766216,0.89855057
