,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY
2011-12-09,60.33656,60.338554,60.303318,60.13615,60.08454,60.08826,60.040867
2011-12-11,60.399254,60.277252,60.119038,60.12525,60.144894,59.955982,59.926403
2011-12-12,60.299507,60.126537,60.05362,60.09288,60.028797,59.915207,59.870422
2011-12-13,60.110317,60.09944,59.994038,60.03669,59.8869,59.878826,59.84416
2011-12-14,60.053417,60.080505,59.99984,59.922134,59.870518,59.873985,59.86758
2011-12-15,60.05612,60.007755,59.90076,59.868855,59.84388,59.86586,59.80024
2011-12-16,60.018806,59.93927,59.83771,59.85289,59.8624,59.83567,59.88085
2011-12-18,59.923656,59.969616,59.893486,59.858303,59.83701,59.812115,59.87303
2011-12-19,59.90084,59.82017,59.83737,59.864967,59.832657,59.811943,59.831844
2011-12-20,59.89728,59.80581,59.8143,59.860554,59.789574,59.82614,59.86042
2011-12-21,59.850456,59.852867,59.8294,59.914143,59.893185,59.84262,59.810802
2011-12-22,59.834423,59.847424,59.837738,59.83512,59.838333,59.880512,59.78834
2011-12-23,59.85885,59.844604,59.86995,59.84416,59.813797,59.794605,59.797367
2011-12-27,59.853424,59.8693,59.827858,59.86654,59.850273,59.88129,59.846725
2011-12-28,59.859634,59.859886,59.799133,59.843933,59.74666,59.857418,59.84082
2011-12-29,59.890778,59.830017,59.841755,59.861073,59.796932,59.789467,59.80013
2011-12-30,59.864494,59.84525,59.8688,59.829796,59.846928,59.820076,59.808643
2012-01-02,59.81996,59.846138,59.85702,59.84932,59.841045,59.88401,59.855846
2012-01-03,59.805416,59.79561,59.851555,59.846317,59.799343,59.772087,59.77452
2012-01-04,59.839,59.812305,59.872414,59.857845,59.80821,59.8135,59.848835
2012-01-05,59.863842,59.821827,59.816837,59.843746,59.856384,59.838104,59.843502
2012-01-06,59.85612,59.92929,59.832447,59.858585,59.739403,59.750507,59.83337
2012-01-08,59.77854,59.781857,59.831795,59.843784,59.78474,59.845997,59.82591
2012-01-09,59.851322,59.874023,59.82583,59.859226,59.823708,59.84763,59.73845
2012-01-10,59.835823,59.789383,59.834717,59.84347,59.83357,59.73895,59.70208
2012-01-11,59.84437,59.828278,59.826153,59.859554,59.71243,59.704823,59.73873
2012-01-12,59.821396,59.77604,59.781693,59.75245,59.69089,59.681587,59.662342
2012-01-13,59.830788,59.853977,59.737644,59.762733,59.7137,59.663597,59.697277
2012-01-15,59.744263,59.734116,59.70778,59.688007,59.713505,59.724995,59.702435
2012-01-16,59.720806,59.72231,59.679813,59.677013,59.683704,59.676117,59.66066
2012-01-17,59.71147,59.69682,59.680855,59.664963,59.65636,59.657936,59.69708
2012-01-18,59.68627,59.662125,59.6795,59.70459,59.65333,59.719097,59.702454
2012-01-19,59.68427,59.694817,59.680603,59.687122,59.671146,59.673077,59.65846
2012-01-20,59.726418,59.675137,59.67925,59.6754,59.69188,59.657784,59.696674
2012-01-22,59.6986,59.68243,59.68049,59.72565,59.691082,59.719448,59.702328
2012-01-23,59.6677,59.66411,59.679035,59.693222,59.712906,59.673374,59.656387
2012-01-24,59.669132,59.695877,59.680305,59.713604,59.71284,59.658096,59.696285
2012-01-25,59.688206,59.67445,59.67881,59.67314,59.683395,59.71978,59.742474
2012-01-26,59.639736,59.682194,59.679962,59.68702,59.65639,59.71489,59.766724
2012-01-27,59.674644,59.6625,59.678444,59.665386,59.672882,59.748234,59.917366
2012-01-29,59.706085,59.696686,59.679726,59.701138,59.72765,59.882034,59.957436
2012-01-30,59.687057,59.673763,59.697403,59.792953,59.86645,59.902737,59.987198
2012-01-31,59.67355,59.701656,59.72953,59.861935,59.942112,60.00917,60.04123
2012-02-01,59.700134,59.690834,59.86504,59.95121,59.992123,60.0281,60.052853
2012-02-02,59.801052,59.871304,59.943604,60.024845,60.09189,60.047398,60.03115
2012-02-03,59.87379,59.952507,59.989086,60.029556,60.003723,60.038902,60.036232
