,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
2012-01-15,233.04022,233.7102,234.27615,234.30508,234.86957,235.00427,234.93951
2012-01-16,233.73477,234.27371,234.35822,234.89752,235.01297,235.00592,235.05423
2012-01-17,234.23285,234.29913,234.86273,235.01147,234.99188,235.01836,235.56198
2012-01-18,234.32376,234.83264,235.0098,235.00244,235.12096,235.5343,235.52817
2012-01-19,234.87378,235.0018,234.93756,235.0566,235.63216,235.59003,235.5661
2012-01-20,234.98418,235.03226,235.02899,235.54282,235.60011,235.53888,235.56224
2012-01-22,234.98631,235.02261,235.57883,235.52368,235.50958,235.52914,235.52805
2012-01-23,235.08264,235.5416,235.53621,235.58543,235.46907,235.55063,235.56631
2012-01-24,235.58243,235.54892,235.53581,235.55899,235.50134,235.5301,235.56287
2012-01-25,235.51492,235.50723,235.56717,235.48935,235.5936,235.55441,235.52791
2012-01-26,235.55258,235.50665,235.52621,235.53583,235.63438,235.55742,235.56656
2012-01-27,235.5455,235.57503,235.52744,235.52478,235.60109,235.5629,235.56306
2012-01-29,235.58493,235.54791,235.55887,235.58429,235.50726,235.6102,235.52777
2012-01-30,235.56694,235.55957,235.55429,235.52795,235.46611,235.53024,235.56683
2012-01-31,235.57922,235.53395,235.55127,235.56165,235.49965,235.5263,235.56308
2012-02-01,235.60822,235.54857,235.57886,235.57338,235.59424,235.56398,235.52753
2012-02-02,235.54562,235.59222,235.49774,235.48988,235.63567,235.54967,235.56702
2012-02-03,235.51572,235.56001,235.55838,235.54758,235.60175,235.5519,235.56314
2012-02-05,235.5523,235.50238,235.57999,235.48138,235.50638,235.55276,235.52753
